4021	2600	0	99	1	1	7	8	1	1	13
2089	1750	0	1	1	0	4	0	89	1	17
2453	2450	0	1	1	0	6	6	3	0	9
2834	1875	0	1	1	1	5	3	1	0	16
3722	1695	0	1	1	0	0	0	1	0	16
3725	2195	0	1	1	1	6	2	1	0	14
3730	2600	0	1	1	0	6	5	3	0	12
3735	2195	0	1	1	0	7	8	0	1	11
3738	1995	0	1	1	1	6	2	1	0	15
3742	2195	0	1	1	0	6	2	3	0	9
3749	2300	0	1	1	0	7	4	0	2	15
3760	2250	0	1	1	1	6	4	1	0	15
3761	2350	0	1	1	0	7	5	0	2	15
3769	1775	0	1	1	0	7	5	5	1	11
3776	2500	0	1	1	0	6	9	2	0	11
3789	1620	0	1	1	0	2	4	6	0	15
3790	2695	0	1	1	0	6	2	1	0	14
3793	1489	0	1	1	0	7	2	1	1	13
3794	2085	0	1	1	0	6	9	2	0	9
3795	1250	0	1	1	0	0	4	45	0	19
3808	2995	0	1	1	0	6	4	1	0	14
3816	2350	0	1	1	0	6	2	3	0	8
3823	2000	0	1	1	0	6	8	3	0	10
3824	2225	0	1	1	0	7	5	0	2	16
3826	1950	0	1	1	0	5	5	11	0	15
3827	1795	0	1	1	0	7	3	5	1	11
3833	1475	0	1	1	1	4	0	1	0	16
3838	1195	0	1	1	1	5	0	0	1	16
3843	1495	0	1	1	1	4	4	2	0	16
3845	2600	0	1	1	0	6	7	3	0	10
3849	5000	0	1	1	0	6	9	2	0	10
3850	2250	0	1	1	0	7	3	20	0	3
3851	2325	0	1	1	0	6	5	2	0	12
3882	1795	0	1	1	0	7	8	6	2	14
3884	2850	0	1	1	0	6	9	3	0	10
3886	2095	0	1	1	0	6	5	3	0	8
3897	1850	0	1	1	0	4	7	2	0	16
3920	1695	0	1	1	0	5	5	9	0	17
3924	2800	0	1	1	0	7	4	1	2	14
3926	1695	0	1	1	1	6	2	1	0	14
3928	1550	0	1	1	0	2	0	1	0	16
3934	1945	0	1	1	0	6	4	1	1	13
3940	1625	0	1	1	0	7	8	1	1	11
3946	1299	0	1	1	0	0	2	1	0	16
3962	2850	0	1	1	1	7	8	1	1	13
3973	1975	0	1	1	0	6	7	1	0	13
3976	1595	0	1	1	0	2	0	1	0	16
3987	1950	0	1	1	1	7	5	0	2	16
3991	1595	0	1	1	1	5	7	0	0	16
3997	1595	0	1	1	1	0	4	1	2	14
4000	1680	0	1	1	0	4	7	1	0	16
4004	1895	0	1	1	1	7	6	1	2	14
4007	1750	0	1	1	0	7	6	1	2	14
4010	1650	0	1	1	1	6	0	1	0	15
4013	1900	0	1	1	1	7	2	1	1	13
4022	2050	0	1	1	0	6	4	2	0	12
4029	1550	0	1	1	0	0	0	42	0	18
4034	1445	0	1	1	0	2	0	1	0	16
4046	1875	0	1	1	0	5	3	1	0	16
4050	1295	0	1	1	1	0	0	21	0	19
849	3200	0	2	1	1	7	2	1	1	13
2695	3300	0	2	1	1	6	4	1	0	14
3731	1450	0	2	1	0	4	4	11	0	18
3733	2795	0	2	1	1	6	4	0	0	14
3737	1800	0	2	1	0	6	5	7	2	12
3745	1995	0	2	1	1	4	0	1	0	16
3747	2500	0	2	1	1	0	0	1	2	15
3770	1895	0	2	1	1	5	0	3	1	17
3773	2595	0	2	1	0	6	9	2	0	11
3779	3500	0	2	1	0	6	7	1	0	15
3798	2495	0	2	1	0	6	9	0	0	14
3802	2595	0	2	1	0	6	4	1	0	14
3814	2195	0	2	1	1	5	0	3	1	17
3825	2395	0	2	1	0	5	6	8	0	10
3836	2195	0	2	1	0	5	0	3	1	16
3864	1825	0	2	1	0	4	0	116	0	17
3866	1995	0	2	1	1	5	4	1	0	17
3867	3195	0	2	1	0	7	4	0	2	15
3871	2000	0	2	1	0	5	5	13	0	14
3931	2495	0	2	1	1	0	4	1	1	14
